building_id,height_m,height_quality,height_valid,confidence,full_plus_code,distance_from_center_m,area_m2,intersects_boundary
06b50000000000280c81,3.0390625,LOW,1,0.8234999775886536,6P58RR96+9Q5V,1108.5,50.5,False
06b50000000000186afb,5.5078125,HIGH,1,0.7376999855041504,6P58RRF7+H2RF,1108.8,497.7,False
06b5000000000010ae43,10.546875,HIGH,1,0.8851000070571899,6P58RRHC+X4VJ,1108.8,238.7,False
06b500000000000d9126,8.6953125,HIGH,1,0.7472000122070312,6P58RR77+5RPR,1109.0,480.7,False
06b50000000000200b82,7.625,HIGH,1,0.7832000255584717,6P58RR6C+249W,1109.3,100.7,False
06b50000000000299319,6.265625,HIGH,1,0.7983999848365784,6P58RR77+R8GF,1109.5,301.9,False
06b50000000000043733,9.7890625,MEDIUM,1,0.6718000173568726,6P58RR77+9P86,1109.7,15.8,False
06b50000000000136b38,7.5234375,HIGH,1,0.7142999768257141,6P58RR6H+V77Q,1109.7,20.2,False
06b5000000000030f27c,18.359375,HIGH,1,0.7531999945640564,6P58RRH9+WVCC,1109.8,59.0,False
06b500000000002db26d,5.9296875,HIGH,1,0.8144000172615051,6P58RR96+QPWR,1109.8,116.2,False
06b500000000000c4613,5.8359375,HIGH,1,0.7746999859809875,6P58RR96+RMX5,1109.8,475.2,False
06b50000000000166adb,4.4453125,HIGH,1,0.9190999865531921,6P58RRH8+5678,1109.9,279.4,False
06b500000000002ac90f,4.8125,HIGH,1,0.8120999932289124,6P58RRH8+9FCR,1110.0,494.8,False
06b50000000000254824,6.2421875,HIGH,1,0.7735999822616577,6P58RRH8+9G8J,1110.0,72.7,False
06b500000000002bebb3,5.796875,HIGH,1,0.828499972820282,6P58RR77+X7FC,1110.0,144.5,False
06b500000000003cbc1a,4.875,HIGH,1,0.8234999775886536,6P58RRF7+H246,1110.0,110.5,False
06b500000000003fde7b,10.40625,HIGH,1,0.8324000239372253,6P58RRJC+266W,1110.1,158.3,False
06b500000000003e1794,5.921875,HIGH,1,0.7396000027656555,6P58RR69+774V,1110.1,33.9,False
06b50000000000286be6,7.3125,HIGH,1,0.7451000213623047,6P58RR6H+V7G8,1110.1,15.9,False
06b500000000001cfa3d,7.2109375,HIGH,1,0.800599992275238,6P58RR96+XM9H,1110.3,215.0,False
06b50000000000072585,6.25,HIGH,1,0.8998000025749207,6P58RRHF+XFXP,1110.4,404.7,False
06b500000000003f6f74,4.421875,HIGH,1,0.8306000232696533,6P58RRH8+7923,1110.4,99.7,False
06b50000000000232c54,36.4921875,HIGH,1,0.8529999852180481,6P58RR7J+W6GC,1110.5,126.8,False
06b50000000000020c3e,13.7734375,HIGH,1,0.8147000074386597,6P58RR6F+3P8V,1110.6,399.5,False
06b50000000000386c77,8.453125,HIGH,1,0.9384999871253967,6P58RR96+9JFV,1110.6,1974.4,False
06b500000000000a79a4,9.6796875,HIGH,1,0.8725000023841858,6P58RRJC+26HQ,1110.7,257.3,False
06b500000000002f4799,4.390625,HIGH,1,0.7904999852180481,6P58RR69+4P4G,1110.7,91.6,False
06b5000000000025af9b,8.96875,HIGH,1,0.8719000220298767,6P58RRC6+XR3V,1110.8,248.0,False
06b500000000000ba711,11.109375,HIGH,1,0.7599999904632568,6P58RRJC+27P4,1111.0,108.7,False
06b500000000002f4376,3.9765625,HIGH,1,0.6915000081062317,6P58RR87+462V,1111.0,19.4,False
06b50000000000382c54,4.7734375,HIGH,1,0.7924000024795532,6P58RRG7+58GR,1111.1,263.9,False
06b500000000002086b4,4.078125,HIGH,1,0.8255000114440918,6P58RR69+74VF,1111.3,146.9,False
06b500000000002c7af3,6.9765625,HIGH,1,0.7875000238418579,6P58RR69+4HP2,1111.3,256.8,False
06b5000000000007ed73,,NO_HEIGHT,0,0.7343999743461609,6P58RRC6+HQWC,1111.4,13.4,False
06b50000000000007523,12.671875,HIGH,1,0.9133999943733215,6P58RRJC+28Q9,1111.5,396.1,False
06b500000000004111da,49.953125,HIGH,1,0.7214000225067139,6P58RR68+Q8H4,1111.5,40.5,False
06b50000000000170872,6.25,HIGH,1,0.8080000281333923,6P58RR86+GXXF,1111.6,73.6,False
06b500000000003d6b39,6.9296875,HIGH,1,0.8227999806404114,6P58RR7J+Q43P,1111.8,108.9,False
06b50000000000014d3e,6.09375,HIGH,1,0.8420000076293945,6P58RR6F+4XC7,1111.8,365.9,False
06b50000000000125750,3.3984375,HIGH,1,0.661899983882904,6P58RRH9+RCHP,1112.1,37.1,False
06b500000000000f77eb,5.4609375,HIGH,1,0.7519999742507935,6P58RRG7+GH25,1112.2,162.2,False
06b500000000002ac68b,6.2109375,HIGH,1,0.7903000116348267,6P58RR77+Q9C5,1112.2,248.4,False
06b500000000001534c8,3.7109375,MEDIUM,1,0.6633999943733215,6P58RRF7+M343,1112.3,11.1,False
06b500000000000d72bb,5.484375,HIGH,1,0.6503999829292297,6P58RRH9+M4WW,1112.3,20.1,False
06b500000000003033c7,3.75,HIGH,1,0.757099986076355,6P58RR87+45W2,1112.4,45.0,False
06b5000000000002aa8b,4.9765625,MEDIUM,1,0.7174000144004822,6P58RRH8+GRR9,1112.4,31.7,False
06b500000000000f8204,2.8984375,HIGH,1,0.7250000238418579,6P58RRH8+9HVV,1112.6,34.6,False
06b500000000003b9ae8,5.5859375,HIGH,1,0.7529000043869019,6P58RR69+773J,1112.6,18.3,False
06b500000000002f5237,4.7578125,HIGH,1,0.8087999820709229,6P58RR68+GM89,1112.7,177.2,False
06b5000000000010baef,4.5,HIGH,1,0.6699000000953674,6P58RRGJ+65WJ,1112.7,105.6,False
06b5000000000012eba5,3.0390625,HIGH,1,0.807699978351593,6P58RR96+9QCH,1112.8,119.9,False
06b5000000000040f69a,37.296875,HIGH,1,0.8910999894142151,6P58RRFJ+JG75,1112.8,485.5,False
06b50000000000157ac4,5.140625,HIGH,1,0.7199000120162964,6P58RR5C+X8P8,1112.8,73.8,False
06b500000000001c3adb,3.40625,MEDIUM,1,0.8201000094413757,6P58RR96+HP5G,1112.9,41.4,False
06b500000000003a98e1,4.7734375,HIGH,1,0.8968999981880188,6P58RR6C+22FJ,1113.0,91.9,False
06b50000000000076fa2,4.9375,HIGH,1,0.8590999841690063,6P58RRH8+8CFF,1113.2,230.4,False
06b500000000002a5cf9,5.84375,HIGH,1,0.8004999756813049,6P58RR5C+X7MQ,1113.3,41.7,False
06b50000000000239fb3,11.6328125,HIGH,1,0.7839999794960022,6P58RR86+PWJP,1113.3,133.8,False
06b50000000000006c20,5.765625,HIGH,1,0.6969000101089478,6P58RR69+3W65,1113.3,21.8,False
06b500000000002979d8,3.5078125,LOW,1,0.7129999995231628,6P58RR6H+Q58Q,1113.4,74.2,False
06b500000000000313c4,15.5,HIGH,1,0.7962999939918518,6P58RR6G+9HPV,1113.4,144.5,False
06b500000000003c4d47,26.171875,HIGH,1,0.8884000182151794,6P58RRHG+VH8G,1113.5,9225.3,False
06b50000000000143abd,6.234375,HIGH,1,0.9101999998092651,6P58RRJF+2C6M,1113.5,354.8,False
06b500000000003a25c6,7.03125,HIGH,1,0.8452000021934509,6P58RR7H+7QW7,1113.6,233.7,False
06b5000000000004cc2d,3.6015625,HIGH,1,0.7422000169754028,6P58RR6H+V87Q,1113.6,100.6,False
06b50000000000088576,12.1328125,HIGH,1,0.8533999919891357,6P58RRHC+X2X3,1113.6,170.3,False
06b500000000000597e6,8.47157451923077,HIGH,1,0.9168999791145325,6P58RR6G+272M,1113.8,4969.7,False
06b5000000000039e0f3,4.78125,HIGH,1,0.8115000128746033,6P58RRG7+WWXH,1113.9,202.1,False
06b50000000000148ad8,11.5078125,HIGH,1,0.6930999755859375,6P58RR7H+2GWX,1113.9,68.7,False
06b500000000002bbc45,7.3828125,HIGH,1,0.8001000285148621,6P58RR6C+2623,1114.1,29.7,False
06b500000000003c323f,22.8515625,HIGH,1,0.8130999803543091,6P58RR6H+W99V,1114.1,126.9,False
06b5000000000018849b,4.5,MEDIUM,1,0.6581000089645386,6P58RRG7+7CPC,1114.2,9.5,False
06b50000000000375972,3.6171875,MEDIUM,1,0.8065999746322632,6P58RR87+64VJ,1114.2,47.4,False
06b500000000002196d3,8.0390625,HIGH,1,0.6791999936103821,6P58RR6H+R7VG,1114.2,13.7,False
